efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
100,0.0,0.0,0.0,0.0,-5.0,55.0,3567.0,15.0,139.0,0.0,1865.0,1888.0,1888.0,8.0,-15.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1892.0,0.0,15.0,14.0,0.0,0.0,112.0,3567.0,0.0,0.0,-15.0,1865.0,1865.0,1865.0,0.0,53.0,-5.0,0.0,-5.0,0.0,14.0,14.0,0.0,55.0,1880.0,1880.0
105,29.0,29.0,0.0,0.0,-5.0,0.0,3703.0,70.0,139.0,0.0,1975.0,1998.0,1998.0,8.0,-70.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2002.0,0.0,70.0,14.0,0.0,0.0,167.0,3703.0,0.0,0.0,-70.0,1975.0,1975.0,1975.0,0.0,108.0,-5.0,0.0,-5.0,0.0,14.0,14.0,84.0,0.0,1990.0,1990.0
106,0.0,0.0,0.0,0.0,-5.0,0.0,3732.0,70.0,139.0,0.0,1975.0,1998.0,1998.0,8.0,-70.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2002.0,0.0,70.0,14.0,0.0,0.0,167.0,3732.0,0.0,0.0,-70.0,1975.0,1975.0,1975.0,0.0,108.0,-5.0,0.0,-5.0,0.0,14.0,14.0,55.0,0.0,1990.0,1990.0
107,3522.0,3522.0,0.0,876.75,-5.0,4453.75,0.0,876.75,139.0,0.0,2711.75,2734.75,2734.75,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2738.75,0.0,0.0,890.75,0.0,0.0,973.75,0.0,0.0,0.0,0.0,2711.75,2711.75,2711.75,0.0,914.75,-5.0,0.0,-5.0,876.75,890.75,890.75,0.0,4453.75,2726.75,2726.75
113,933.75,933.75,0.0,14.0,-5.0,1865.5,0.0,14.0,139.0,862.75,986.25,1009.25,1009.25,8.0,0.0,0.0,1.0,5.0,0.0,862.75,862.75,5.0,13.0,1013.25,0.0,0.0,28.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,986.25,986.25,986.25,0.0,52.0,-5.0,0.0,-5.0,14.0,28.0,28.0,0.0,1865.5,1001.25,1001.25
114,71.0,71.0,0.0,14.0,-5.0,140.0,3451.0,14.0,139.0,0.0,1849.0,1872.0,1872.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1876.0,0.0,0.0,28.0,0.0,0.0,111.0,3451.0,0.0,0.0,0.0,1849.0,1849.0,1849.0,0.0,52.0,-5.0,0.0,-5.0,14.0,28.0,28.0,0.0,140.0,1864.0,1864.0
126,3732.0,3732.0,0.0,0.0,-5.0,0.0,0.0,70.0,139.0,0.0,1975.0,1998.0,1998.0,8.0,-70.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2002.0,0.0,70.0,14.0,0.0,0.0,167.0,0.0,0.0,0.0,-70.0,1975.0,1975.0,1975.0,0.0,108.0,-5.0,0.0,-5.0,0.0,14.0,14.0,3787.0,0.0,1990.0,1990.0
136,3718.667,3718.667,-2.667,0.0,-7.667,0.0,0.0,54.0,139.0,0.0,1953.667,1982.0,1982.0,0.0,-54.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1986.0,0.0,54.0,14.0,0.0,-2.667,156.333,0.0,0.0,0.0,-54.0,1953.667,1953.667,1953.667,0.0,92.0,-10.333,0.0,-10.333,0.0,14.0,14.0,3773.667,0.0,1982.0,1982.0
137,21.0,21.0,-2.667,0.0,-7.667,0.0,3697.667,54.0,139.0,0.0,1953.667,1982.0,1982.0,0.0,-54.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1986.0,0.0,54.0,14.0,0.0,-2.667,156.333,3697.667,0.0,0.0,-54.0,1953.667,1953.667,1953.667,0.0,92.0,-10.333,0.0,-10.333,0.0,14.0,14.0,76.0,0.0,1982.0,1982.0
140,0.0,0.0,-2.667,0.0,-7.667,0.0,3718.667,54.0,139.0,0.0,1953.667,1982.0,1982.0,0.0,-54.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1986.0,0.0,54.0,14.0,0.0,-2.667,156.333,3718.667,0.0,0.0,-54.0,1953.667,1953.667,1953.667,0.0,92.0,-10.333,0.0,-10.333,0.0,14.0,14.0,55.0,0.0,1982.0,1982.0
151,3556.667,3556.667,-2.667,889.417,-7.667,4501.083,0.0,889.417,139.0,0.0,2735.083,2763.417,2763.417,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,2767.417,0.0,0.0,903.417,0.0,-2.667,991.75,0.0,0.0,0.0,0.0,2735.083,2735.083,2735.083,0.0,927.417,-10.333,0.0,-10.333,889.417,903.417,903.417,0.0,4501.083,2763.417,2763.417
186,954.417,954.417,-2.667,22.0,-7.667,1898.833,0.0,22.0,139.0,867.417,1000.25,1028.583,1028.583,0.0,0.0,0.0,1.0,10.333,0.0,867.417,867.417,10.333,10.333,1032.583,0.0,0.0,36.0,0.0,-2.667,124.333,0.0,0.0,0.0,0.0,1000.25,1000.25,1000.25,0.0,60.0,-10.333,0.0,-10.333,22.0,36.0,36.0,0.0,1898.833,1028.583,1028.583
187,87.0,87.0,-2.667,22.0,-7.667,164.0,3469.667,22.0,139.0,0.0,1867.667,1896.0,1896.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1900.0,0.0,0.0,36.0,0.0,-2.667,124.333,3469.667,0.0,0.0,0.0,1867.667,1867.667,1867.667,0.0,60.0,-10.333,0.0,-10.333,22.0,36.0,36.0,0.0,164.0,1896.0,1896.0
196,0.0,0.0,-2.667,0.25,-7.667,55.25,3556.667,0.25,139.0,0.0,1845.917,1874.25,1874.25,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.25,0.0,0.0,14.25,0.0,-2.667,102.583,3556.667,0.0,0.0,0.0,1845.917,1845.917,1845.917,0.0,38.25,-10.333,0.0,-10.333,0.25,14.25,14.25,0.0,55.25,1874.25,1874.25
202,3556.667,3556.667,-2.667,0.0,-7.667,54.0,0.0,0.0,139.0,0.0,1845.667,1874.0,1874.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.0,0.0,0.0,14.0,0.0,-2.667,102.333,0.0,0.0,0.0,0.0,1845.667,1845.667,1845.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,3557.667,54.0,1874.0,1874.0
204,3522.0,3522.0,0.0,0.0,-5.0,70.0,0.0,0.0,139.0,0.0,1835.0,1858.0,1858.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1862.0,0.0,0.0,14.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1835.0,1835.0,1835.0,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,3507.0,70.0,1850.0,1850.0
208,904.917,904.917,-2.667,0.0,-7.667,1821.833,0.0,0.0,139.0,883.917,961.75,990.083,990.083,0.0,0.0,0.0,1.0,10.333,0.0,883.917,883.917,10.333,10.333,994.083,0.0,0.0,14.0,0.0,-2.667,102.333,0.0,0.0,0.0,0.0,961.75,961.75,961.75,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,22.0,1821.833,990.083,990.083
212,21.0,21.0,-2.667,0.0,-7.667,54.0,3535.667,0.0,139.0,0.0,1845.667,1874.0,1874.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.0,0.0,0.0,14.0,0.0,-2.667,102.333,3535.667,0.0,0.0,0.0,1845.667,1845.667,1845.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,22.0,54.0,1874.0,1874.0
213,0.0,0.0,-2.667,0.0,-7.667,54.0,3556.667,0.0,139.0,0.0,1845.667,1874.0,1874.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.0,0.0,0.0,14.0,0.0,-2.667,102.333,3556.667,0.0,0.0,0.0,1845.667,1845.667,1845.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,1.0,54.0,1874.0,1874.0
214,902.25,902.25,0.0,0.0,-5.0,1816.5,0.0,0.0,139.0,873.25,961.75,984.75,984.75,8.0,0.0,0.0,1.0,5.0,0.0,873.25,873.25,5.0,13.0,988.75,0.0,0.0,14.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,961.75,961.75,961.75,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,14.0,1816.5,976.75,976.75
216,0.0,0.0,-2.667,0.0,-7.667,56.0,3553.667,0.0,139.0,1.0,1844.667,1873.0,1873.0,0.0,0.0,0.0,1.0,10.333,0.0,1.0,1.0,10.333,10.333,1877.0,0.0,0.0,14.0,0.0,-2.667,102.333,3553.667,0.0,0.0,0.0,1844.667,1844.667,1844.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,0.0,56.0,1873.0,1873.0
218,888.417,888.417,-2.667,0.0,-7.667,1832.833,0.0,0.0,139.0,889.417,956.25,984.583,984.583,0.0,0.0,0.0,1.0,10.333,0.0,889.417,889.417,10.333,10.333,988.583,0.0,0.0,14.0,0.0,-2.667,102.333,0.0,0.0,0.0,0.0,956.25,956.25,956.25,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,0.0,1832.833,984.583,984.583
220,0.0,0.0,-2.5,0.0,-7.5,55.0,3554.5,0.0,139.0,0.0,1845.0,1873.0,1873.0,0.5,0.0,0.0,1.0,10.0,0.0,0.0,0.0,10.0,10.5,1877.0,0.0,0.0,14.0,0.0,-2.5,102.0,3554.5,0.0,0.0,0.0,1845.0,1845.0,1845.0,0.0,38.0,-10.0,0.0,-10.0,0.0,14.0,14.0,0.0,55.0,1872.5,1872.5
221,891.75,891.75,0.0,0.0,-5.0,1823.5,0.0,0.0,139.0,876.75,958.25,981.25,981.25,8.0,0.0,0.0,1.0,5.0,0.0,876.75,876.75,5.0,13.0,985.25,0.0,0.0,14.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,958.25,958.25,958.25,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,0.0,1823.5,973.25,973.25
222,15.0,15.0,0.0,0.0,-5.0,70.0,3507.0,0.0,139.0,0.0,1835.0,1858.0,1858.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1862.0,0.0,0.0,14.0,0.0,0.0,97.0,3507.0,0.0,0.0,0.0,1835.0,1835.0,1835.0,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,0.0,70.0,1850.0,1850.0
224,29.0,29.0,0.0,0.0,-5.0,70.0,3493.0,0.0,139.0,0.0,1835.0,1858.0,1858.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1862.0,0.0,0.0,14.0,0.0,0.0,97.0,3493.0,0.0,0.0,0.0,1835.0,1835.0,1835.0,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,14.0,70.0,1850.0,1850.0
230,3470.0,3470.0,1147.0,0.0,1142.0,3525.0,0.0,3427.0,139.0,0.0,6390.0,4119.0,4119.0,3449.0,-3427.0,2289.0,1.0,-2289.0,0.0,0.0,0.0,0.0,1160.0,4123.0,0.0,3427.0,14.0,0.0,1147.0,1230.0,0.0,0.0,0.0,-3427.0,6390.0,6390.0,6390.0,0.0,3465.0,2289.0,0.0,2289.0,0.0,14.0,14.0,0.0,3525.0,670.0,670.0
231,1888.571,1888.571,444.143,0.0,439.143,1943.571,0.0,791.286,139.0,0.0,2524.286,1659.0,1659.0,1340.429,-791.286,883.286,1.0,-883.286,0.0,0.0,0.0,0.0,457.143,1663.0,0.0,791.286,14.0,0.0,444.143,0.0,0.0,0.0,0.0,-791.286,2524.286,2524.286,2524.286,0.0,829.286,883.286,0.0,883.286,0.0,14.0,14.0,0.0,1943.571,318.571,318.571
234,2679.857,2679.857,444.143,0.0,439.143,2734.857,0.0,0.0,139.0,0.0,2524.286,1659.0,1659.0,1340.429,0.0,883.286,1.0,-883.286,0.0,0.0,0.0,0.0,457.143,1663.0,0.0,0.0,14.0,0.0,444.143,0.0,0.0,0.0,0.0,-791.286,2524.286,2524.286,2524.286,791.286,829.286,883.286,0.0,883.286,0.0,14.0,14.0,0.0,2734.857,318.571,318.571
236,1991.783,1991.783,168.913,240.826,163.913,2287.609,0.0,240.826,139.0,0.0,1733.0,1418.174,1418.174,514.739,0.0,332.826,1.0,-332.826,0.0,0.0,0.0,0.0,181.913,1422.174,0.0,0.0,254.826,0.0,168.913,0.0,0.0,0.0,0.0,0.0,1733.0,1733.0,1733.0,0.0,278.826,332.826,0.0,332.826,240.826,254.826,254.826,0.0,2287.609,903.435,903.435
238,4737.5,4737.5,1569.5,0.0,1564.5,0.0,0.0,9487.0,139.0,0.0,14387.5,4716.5,4716.5,4716.5,-9487.0,6411.5,1.0,-6411.5,3277.5,0.0,0.0,0.0,1582.5,7998.0,0.0,9487.0,14.0,0.0,1569.5,3167.5,0.0,0.0,0.0,-9487.0,14387.5,14387.5,14387.5,0.0,9525.0,3134.0,0.0,6411.5,0.0,14.0,14.0,4792.5,0.0,0.0,0.0
239,1816.636,1816.636,300.273,0.0,295.273,1871.636,0.0,0.0,139.0,0.0,1733.0,1155.454,1155.454,908.818,0.0,595.546,1.0,-595.546,0.0,0.0,0.0,0.0,313.273,1159.454,0.0,0.0,14.0,503.546,300.273,0.0,0.0,0.0,0.0,0.0,1733.0,1733.0,1733.0,0.0,38.0,595.546,0.0,595.546,0.0,14.0,14.0,0.0,1871.636,246.636,246.636
240,1570.0,1570.0,444.143,0.0,439.143,1625.0,0.0,1109.857,139.0,0.0,2842.857,1340.429,1340.429,1340.429,-1109.857,1201.857,1.0,-1201.857,318.571,0.0,0.0,0.0,457.143,1663.0,0.0,1109.857,14.0,0.0,444.143,0.0,0.0,0.0,0.0,-1109.857,2842.857,2842.857,2842.857,0.0,1147.857,883.286,0.0,1201.857,0.0,14.0,14.0,0.0,1625.0,0.0,0.0
241,1862.0,1862.0,611.0,0.0,606.0,1917.0,0.0,1819.0,139.0,0.0,3844.0,1841.0,1841.0,1841.0,-1819.0,1619.0,1.0,-1619.0,402.0,0.0,0.0,0.0,624.0,2247.0,0.0,1819.0,14.0,0.0,611.0,292.0,0.0,0.0,0.0,-1819.0,3844.0,3844.0,3844.0,0.0,1857.0,1217.0,0.0,1619.0,0.0,14.0,14.0,0.0,1917.0,0.0,0.0
242,1205.0,1205.0,392.0,0.0,387.0,1260.0,365.0,1162.0,139.0,0.0,2895.0,1184.0,1184.0,1184.0,-1162.0,1254.0,1.0,-1254.0,475.0,0.0,0.0,0.0,405.0,1663.0,0.0,1162.0,14.0,0.0,392.0,0.0,365.0,0.0,0.0,-1162.0,2895.0,2895.0,2895.0,0.0,1200.0,779.0,0.0,1254.0,0.0,14.0,14.0,0.0,1260.0,0.0,0.0
243,1570.0,1570.0,212.0,0.0,207.0,0.0,0.0,1342.0,139.0,0.0,3075.0,644.0,644.0,644.0,-1342.0,1434.0,1.0,-1434.0,1015.0,0.0,0.0,0.0,225.0,1663.0,0.0,1342.0,14.0,0.0,212.0,0.0,0.0,0.0,0.0,-1342.0,3075.0,3075.0,3075.0,0.0,1380.0,419.0,0.0,1434.0,0.0,14.0,14.0,1625.0,0.0,0.0,0.0
248,665.0,665.0,212.0,0.0,207.0,0.0,905.0,1342.0,139.0,0.0,3075.0,644.0,644.0,644.0,-1342.0,1434.0,1.0,-1434.0,1015.0,0.0,0.0,0.0,225.0,1663.0,0.0,1342.0,14.0,0.0,212.0,0.0,905.0,0.0,0.0,-1342.0,3075.0,3075.0,3075.0,0.0,1380.0,419.0,0.0,1434.0,0.0,14.0,14.0,720.0,0.0,0.0,0.0
249,1245.556,1245.556,351.444,0.0,346.444,1462.778,0.0,1040.333,139.0,162.222,2611.111,1062.333,1062.333,1062.333,-1040.333,1132.333,1.0,-1132.333,434.444,162.222,162.222,0.0,364.444,1500.778,0.0,1040.333,14.0,0.0,351.444,0.0,0.0,0.0,0.0,-1040.333,2611.111,2611.111,2611.111,0.0,1078.333,697.889,0.0,1132.333,0.0,14.0,14.0,0.0,1462.778,0.0,0.0
250,1304.546,1304.546,292.454,132.727,287.454,1492.273,0.0,1128.818,139.0,0.0,2729.091,885.364,885.364,885.364,-996.091,1220.818,1.0,-1220.818,640.909,0.0,0.0,0.0,305.454,1530.273,0.0,996.091,146.727,0.0,292.454,0.0,0.0,0.0,0.0,-996.091,2729.091,2729.091,2729.091,0.0,1166.818,579.909,0.0,1220.818,132.727,146.727,146.727,0.0,1492.273,0.0,0.0
252,0.0,0.0,219.857,0.0,214.857,55.0,1570.0,1334.143,139.0,0.0,3067.143,667.571,667.571,667.571,-1334.143,1426.143,1.0,-1426.143,991.429,0.0,0.0,0.0,232.857,1663.0,0.0,1334.143,14.0,0.0,219.857,0.0,1570.0,0.0,0.0,-1334.143,3067.143,3067.143,3067.143,0.0,1372.143,434.714,0.0,1426.143,0.0,14.0,14.0,0.0,55.0,0.0,0.0
256,2679.857,2679.857,444.143,0.0,439.143,2734.857,0.0,0.0,139.0,0.0,2842.857,1340.429,1340.429,1340.429,0.0,1201.857,1.0,-1201.857,318.571,0.0,0.0,0.0,457.143,1663.0,0.0,0.0,14.0,0.0,444.143,0.0,0.0,0.0,0.0,-1109.857,2842.857,2842.857,2842.857,1109.857,1147.857,883.286,0.0,1201.857,0.0,14.0,14.0,0.0,2734.857,0.0,0.0
257,0.0,0.0,212.0,0.0,207.0,0.0,1570.0,1342.0,139.0,0.0,3075.0,644.0,644.0,644.0,-1342.0,1434.0,1.0,-1434.0,1015.0,0.0,0.0,0.0,225.0,1663.0,0.0,1342.0,14.0,0.0,212.0,0.0,1570.0,0.0,0.0,-1342.0,3075.0,3075.0,3075.0,0.0,1380.0,419.0,0.0,1434.0,0.0,14.0,14.0,55.0,0.0,0.0,0.0
263,1570.0,1570.0,259.167,0.0,254.167,1625.0,0.0,0.0,139.0,0.0,1733.0,785.5,785.5,785.5,0.0,739.417,1.0,-739.417,226.083,0.0,0.0,0.0,272.167,1015.583,0.0,0.0,14.0,647.417,259.167,0.0,0.0,0.0,0.0,0.0,1733.0,1733.0,1733.0,0.0,38.0,513.333,0.0,739.417,0.0,14.0,14.0,0.0,1625.0,0.0,0.0
292,1582.0,1582.0,5.0,384.25,0.0,2021.25,0.0,384.25,139.0,0.0,1733.0,803.5,803.5,23.0,0.0,476.25,1.0,-476.25,471.25,0.0,0.0,0.0,18.0,1278.75,0.0,0.0,398.25,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1733.0,1733.0,1733.0,0.0,422.25,5.0,0.0,476.25,384.25,398.25,398.25,0.0,2021.25,780.5,780.5
293,1195.812,1195.812,2.5,386.438,-2.5,1637.25,0.0,766.375,139.0,0.0,2112.938,414.188,414.188,15.5,-379.938,858.375,1.0,-858.375,858.375,0.0,0.0,0.0,15.5,1276.562,0.0,379.938,400.438,0.0,2.5,0.0,0.0,0.0,0.0,-379.938,2112.938,2112.938,2112.938,0.0,804.375,0.0,0.0,858.375,386.438,400.438,400.438,0.0,1637.25,398.688,398.688
294,1196.75,1196.75,5.0,384.25,0.0,1636.0,0.0,769.5,139.0,0.0,2118.25,418.25,418.25,23.0,-385.25,861.5,1.0,-861.5,856.5,0.0,0.0,0.0,18.0,1278.75,0.0,385.25,398.25,0.0,5.0,0.0,0.0,0.0,0.0,-385.25,2118.25,2118.25,2118.25,0.0,807.5,5.0,0.0,861.5,384.25,398.25,398.25,0.0,1636.0,395.25,395.25
299,1575.75,1575.75,2.5,386.438,-2.5,2017.188,0.0,386.438,139.0,0.0,1733.0,794.125,794.125,15.5,0.0,478.438,1.0,-478.438,478.438,0.0,0.0,0.0,15.5,1276.562,0.0,0.0,400.438,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1733.0,1733.0,1733.0,0.0,424.438,0.0,0.0,478.438,386.438,400.438,400.438,0.0,2017.188,778.625,778.625
305,1217.375,1217.375,5.0,391.125,0.0,0.0,0.0,2446.75,139.0,0.0,4218.25,23.0,23.0,23.0,-2055.625,2109.125,1.0,-2109.125,2104.125,0.0,0.0,0.0,18.0,2131.125,0.0,2055.625,405.125,0.0,5.0,429.625,0.0,0.0,0.0,-2055.625,4218.25,4218.25,4218.25,0.0,2484.75,5.0,0.0,2109.125,391.125,405.125,405.125,1663.5,0.0,0.0,0.0
307,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2274.0,139.0,1087.0,3524.0,23.0,23.0,23.0,-2274.0,1762.0,1.0,-1762.0,1757.0,1087.0,1087.0,0.0,18.0,1784.0,0.0,2274.0,14.0,0.0,5.0,604.0,0.0,0.0,0.0,-2274.0,3524.0,3524.0,3524.0,0.0,2312.0,5.0,0.0,1762.0,0.0,14.0,14.0,1142.0,0.0,0.0,0.0
308,1156.0,1156.0,5.0,207.0,0.0,0.0,0.0,1342.0,139.0,0.0,2868.0,23.0,23.0,23.0,-1135.0,1434.0,1.0,-1434.0,1429.0,0.0,0.0,0.0,18.0,1456.0,0.0,1135.0,221.0,0.0,5.0,0.0,0.0,0.0,0.0,-1135.0,2868.0,2868.0,2868.0,0.0,1380.0,5.0,0.0,1434.0,207.0,221.0,221.0,1418.0,0.0,0.0,0.0
314,959.6,959.6,5.0,305.2,0.0,687.4,0.0,1243.8,139.0,0.0,2671.6,23.0,23.0,23.0,-938.6,1335.8,1.0,-1335.8,1330.8,0.0,0.0,0.0,18.0,1357.8,0.0,938.6,319.2,0.0,5.0,0.0,0.0,0.0,0.0,-938.6,2671.6,2671.6,2671.6,0.0,1281.8,5.0,0.0,1335.8,305.2,319.2,319.2,632.4,687.4,0.0,0.0
316,1582.0,1582.0,5.0,384.25,0.0,2021.25,0.0,384.25,139.0,0.0,2513.5,23.0,23.0,23.0,0.0,1256.75,1.0,-1256.75,1251.75,0.0,0.0,0.0,18.0,1278.75,0.0,0.0,398.25,0.0,5.0,0.0,0.0,0.0,0.0,-780.5,2513.5,2513.5,2513.5,780.5,1202.75,5.0,0.0,1256.75,384.25,398.25,398.25,0.0,2021.25,0.0,0.0
318,1196.75,1196.75,5.0,384.25,0.0,1636.0,0.0,769.5,139.0,0.0,2513.5,23.0,23.0,23.0,-385.25,1256.75,1.0,-1256.75,1251.75,0.0,0.0,0.0,18.0,1278.75,0.0,385.25,398.25,0.0,5.0,0.0,0.0,0.0,0.0,-780.5,2513.5,2513.5,2513.5,395.25,1202.75,5.0,0.0,1256.75,384.25,398.25,398.25,0.0,1636.0,0.0,0.0
